year,name_first,name_last,ab,bb,so,obp,slg
2013,Marcus,Semien,69,1,22,.268,.406
2013,Casper,Wells,66,5,22,.225,.182
2013,Dewayne,Wise,64,2,14,.258,.328
2013,Tyler,Greene,54,3,19,.263,.352
2013,Leury,Garcia,49,4,18,.259,.224
2013,Blake,Tekotte,31,3,9,.306,.355
2013,Brent,Morel,25,5,7,.333,.200
2013,Bryan,Anderson,18,1,5,.105,.111
2013,Miguel,Gonzalez,9,0,3,.222,.222
2013,Angel,Sanchez,2,0,0,.000,.000
2013,Jake,Peavy,6,0,0,.000,.000
2013,Hector,Santiago,4,0,1,.000,.000
2013,John,Danks,2,0,1,.000,.000
2013,Jose,Quintana,2,0,1,.000,.000
2013,Dylan,Axelrod,2,0,1,.500,.500
2013,Gavin,Floyd,2,0,2,.000,.000
2013,Addison,Reed,0,0,0,0.0,0.0
2013,Erik,Johnson,0,0,0,0.0,0.0
2013,David,Purcey,0,0,0,0.0,0.0
2013,Brian,Omogrosso,0,0,0,0.0,0.0
2013,Simon,Castro,0,0,0,0.0,0.0
2013,Chris,Sale,0,0,0,0.0,0.0
2013,Matt,Lindstrom,0,0,0,0.0,0.0
2013,Jesse,Crain,0,0,0,0.0,0.0
2013,Deunte,Heath,0,0,0,0.0,0.0
2013,Andre,Rienzo,0,0,0,0.0,0.0
2013,Charles,Leesman,0,0,0,0.0,0.0
2013,Daniel,Webb,0,0,0,0.0,0.0
2013,Ramon,Troncoso,0,0,0,0.0,0.0
2013,Jake,Petricka,0,0,0,0.0,0.0
2013,Nate,Jones,0,0,0,0.0,0.0
2013,Matt,Thornton,0,0,0,0.0,0.0
2013,Donnie,Veal,0,0,0,0.0,0.0
2013,Devin,Mesoraco,323,24,61,.287,.362
2013,Joey,Votto,581,135,138,.435,.491
2013,Brandon,Phillips,606,39,98,.310,.396
2013,Zack,Cozart,567,26,102,.284,.381
2013,Todd,Frazier,531,50,125,.314,.407
2013,Chris,Heisey,224,9,51,.279,.415
2013,Shin-Soo,Choo,569,112,133,.423,.462
2013,Jay,Bruce,626,63,185,.329,.478
2013,Ryan,Hanigan,222,29,27,.306,.261
2013,Xavier,Paul,209,27,53,.339,.402
2013,Derrick,Robinson,192,18,44,.322,.323
2013,Jack,Hannahan,139,19,38,.317,.288
2013,Cesar,Izturis,129,9,13,.259,.271
2013,Ryan,Ludwick,129,10,29,.293,.326
2013,Donald,Lutz,58,1,14,.254,.310
2013,Corky,Miller,35,5,6,.366,.400
2013,Billy,Hamilton,19,2,4,.429,.474
2013,Neftali,Soto,12,0,6,.077,.000
2013,Henry,Rodriguez,9,1,4,.200,.111
2013,Mat,Latos,71,1,28,.139,.155
2013,Bronson,Arroyo,59,0,26,.068,.068
2013,Homer,Bailey,58,3,18,.210,.172
2013,Mike,Leake,63,2,19,.215,.254
2013,Tony,Cingrani,28,0,9,.250,.286
2013,Johnny,Cueto,20,0,5,.150,.150
2013,Greg,Reynolds,7,0,4,.143,.286
2013,Alfredo,Simon,7,0,4,.143,.143
2013,Manny,Parra,2,0,0,.500,.500
2013,Pedro,Villarreal,1,0,0,.000,.000
2013,Aroldis,Chapman,1,0,1,.000,.000
2013,Curtis,Partch,1,0,0,.000,.000
2013,Zach,Duke,1,0,0,1.000,1.000
2013,J.J.,Hoover,0,0,0,0.0,0.0
2013,Sam,LeCure,0,0,0,0.0,0.0
2013,Nick,Christiani,0,0,0,0.0,0.0
2013,Sean,Marshall,0,0,0,0.0,0.0
2013,Justin,Freeman,0,0,0,0.0,0.0
2013,Logan,Ondrusek,0,0,0,0.0,0.0
2013,Jonathan,Broxton,0,0,0,0.0,0.0
2013,Carlos,Santana,541,93,110,.377,.455
2013,Nick,Swisher,549,77,138,.341,.423
2013,Jason,Kipnis,564,76,143,.366,.452
2013,Asdrubal,Cabrera,508,35,114,.299,.402
2013,Lonnie,Chisenhall,289,16,56,.270,.398
2013,Michael,Brantley,556,40,67,.332,.396
2013,Michael,Bourn,525,40,132,.316,.360
2013,Drew,Stubbs,430,44,141,.305,.360
2013,Jason,Giambi,186,23,56,.282,.371
2013,Mike,Aviles,361,15,41,.282,.368
2013,Mark,Reynolds,335,43,123,.307,.373
2013,Yan,Gomes,293,18,67,.345,.481
2013,Ryan,Raburn,243,29,67,.357,.543
2013,Jason,Kubel,18,5,10,.348,.222
2013,Jose,Ramirez,12,2,2,.429,.500
2013,Matt,Carson,11,1,1,.692,.909
2013,Cord,Phelps,9,0,2,.000,.000
2013,John,McDonald,7,1,1,.125,.000
2013,Lou,Marson,3,2,0,.400,.000
2013,Ezequiel,Carrera,4,0,1,.500,.500
2013,Kelly,Shoppach,2,0,1,.000,.000
2013,Omir,Santos,1,0,0,.000,.000
2013,Ubaldo,Jimenez,3,1,3,.250,.000
2013,Scott,Kazmir,4,0,1,.250,.250
2013,Zach,McAllister,4,0,2,.000,.000
2013,Corey,Kluber,2,1,1,.333,.000
2013,Justin,Masterson,2,0,0,.500,.500
2013,Danny,Salazar,2,0,2,.000,.000
2013,Trevor,Bauer,1,0,1,.000,.000
2013,Carlos,Carrasco,0,0,0,0.0,0.0
2013,Clay,Rapada,0,0,0,0.0,0.0
2013,C.C.,Lee,0,0,0,0.0,0.0
2013,Rich,Hill,0,0,0,0.0,0.0
2013,Nick,Hagadone,0,0,0,0.0,0.0
2013,Joe,Martinez,0,0,0,0.0,0.0
2013,Brett,Myers,0,0,0,0.0,0.0
2013,Cody,Allen,0,0,0,0.0,0.0
2013,Preston,Guilmet,0,0,0,0.0,0.0
2013,Josh,Tomlin,0,0,0,0.0,0.0
2013,Matt,Langwell,0,0,0,0.0,0.0
2013,Scott,Barnes,0,0,0,0.0,0.0
2013,Joe,Smith,0,0,0,0.0,0.0
2013,David,Huff,0,0,0,0.0,0.0
2013,Matt,Albers,0,0,0,0.0,0.0
2013,Bryan,Shaw,0,0,0,0.0,0.0
2013,Vinnie,Pestano,0,0,0,0.0,0.0
2013,Blake,Wood,0,0,0,0.0,0.0
2013,Chris,Perez,0,0,0,0.0,0.0
2013,Marc,Rzepczynski,0,0,0,0.0,0.0
2013,Wilin,Rosario,449,15,109,.315,.486
